country,2005,2006,2007,2008,2009,2010,2011,2012
Tanzania,3.43,3.312,4.058,4.256,4.584,4.99,4.996,5.532
Togo,0.1829,0.2118,0.18886,0.1201,0.14,0.124,0.123,0.109
Tunisia,12.976,13.281,12.92112,13.50536,14.34644,15.14158,15.226,16.085
Uganda,1.902,1.59356,1.986,2.267,2.189,2.406,2.493,3.045
Western Sahara,0.085,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Zambia,8.846,9.799,9.7312,9.5972,10.303,11.187,11.36,11.73
Zimbabwe,9.035,7.577,7.287,7.308,7.008,7.705,7.297,7.736
Asia & Oceania,5578.01905,6057.23399,6588.06469,6770.68198,7076.1819,7856.60291,8493.89186,8761.58094
Afghanistan,0.934,0.837,0.946,0.72801,0.9381,0.9361,0.8471,0.8841
American Samoa,0.178,0.181,0.184,0.187,0.178,0.159,0.155,0.157
Australia,215.4893,219.82984,229.39098,229.45406,235.853,238.987,240.207,235.208
Bangladesh,25.4425,29.247,29.846,32.848,36.1682,40.338,42.5038,47.3088
Bhutan,2.621,4.475,6.496,6.892,6.929,7.256,6.976,6.746
Brunei,3.06816,3.10012,3.1913,3.21762,3.39528,3.564,3.5,3.694
Burma (Myanmar),5.80486,5.96066,6.1962,6.42794,6.80852,7.34572,9.652,10.476
Cambodia,0.9097,1.10934,1.40356,1.39398,1.18412,0.9373,0.9912,1.375
China,2370.148,2714.776,3087.25,3280.668,3507.509,4051.881,4547.141,4768.317
Cook Islands,0.02713,0.03013,0.03113,0.03213,0.03113,0.03213,0.03213,0.03113
Fiji,0.7051,0.7561,0.7941,0.8051,0.8101,0.8691,0.8361,0.8361
French Polynesia,0.601,0.627,0.656,0.684,0.698,0.779,0.755,0.702
Guam,1.793,1.78938,1.76737,1.7643,1.755,1.758,1.734,1.684
Hawaiian Trade Zone,--,--,--,--,--,--,--,--
Hong Kong,36.141,36.297,36.612,35.7116,36.405,35.995,36.686,36.507
India,675.669,727.421,775.893,796.103,856.088,912.302,1006.262,1052.499
Indonesia,121.012,126.692,135.85402,142.4764,148.5161,161.0372,173.5032,185.333
Japan,1020.215,1038.529,1077.841,1012.918,985.64,1044.187,1032.165,966.426
Kiribati,0.021,0.022,0.022,0.021,0.021,0.023,0.025,0.026
Korea North,22.19514,21.72104,20.89542,22.51672,20.48626,21.0351,18.733,18.757
Korea South,363.92178,379.06528,402.35824,419.06936,426.00482,468.2693,489.729,499.672
Laos,3.441,3.553,3.618,3.971,3.727,8.149,12.242,12.103
Macau,1.905,1.568,1.429,1.138,1.378,1.012,0.833,0.527
Malaysia,77.97114,84.76178,91.98851,92.30561,109.75601,117.95701,122.18701,126.815
Maldives,0.17401,0.19903,0.23003,0.26303,0.28003,0.2401,0.2652,0.2872
Mongolia,3.30169,3.43047,3.60343,3.8987,3.9316,4.21454,4.4724,4.5344
Nauru,0.03,0.031,0.032,0.033,0.035,0.027,0.025,0.025
Nepal,2.501,2.717,2.76346,2.78346,3.08322,3.17582,3.457,3.516
New Caledonia,1.79,1.778,1.835,1.782,1.834,1.995,2.49,2.92
New Zealand,41.73684,42.36628,42.5567,42.61804,42.42272,43.862,43.511,43.277
Niue,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Pakistan,89.625,94.315,90.773,87.728,90.967,89.667,89.723,92.859
Papua New Guinea,3.323,3.243,3.327,3.261,3.331,3.389,3.317,3.35
Philippines,54.188,54.50502,57.08,58.31011,59.31669,64.642,66.014,69.67
Samoa,0.105,0.11,0.1132,0.1152,0.1172,0.1162,0.1152,0.0972
Singapore,36.838,38.029,39.64,40.262,40.372,43.818,44.412,44.758
Solomon Islands,0.07,0.071,0.08,0.08,0.079,0.082,0.085,0.085
Sri Lanka,8.938,8.424,9.5059,9.607,9.584,10.409,11.165,11.36
Taiwan,210.2979,217.89961,225.34277,221.35991,213.1298,229.74329,234.98852,233.69601
Thailand,123.0578,129.3229,132.379,136.435,137.21,145.297,140.846,156.376
Timor-Leste (East Timor),0,0,0,0,0,0,0,0
Tonga,0.045,0.046,0.048,0.05,0.051,0.049,0.048,0.048
U.S. Pacific Islands,0.383,0.404,0.412,0.412,0.415,0.418,0.428,0.43
Vanuatu,0.041,0.042,0.045,0.052,0.052,0.053,0.055,0.053
Vietnam,51.357,57.949,63.63136,70.2957,79.688,90.593,100.776,118.152
Wake Island,0,0,0,0,0,0,0,0
World,17330.01817,18032.9011,18866.68212,19157.24731,19093.32716,20436.98889,21182.42241,21531.70876
