country,2005,2006,2007,2008,2009,2010,2011,2012
Zambia,8.589,8.804,8.2132,7.4802,7.419,7.942,8.064,8.327
Zimbabwe,10.432,10.202,8.995,7.456,7.051,6.771,6.552,6.831
Asia & Oceania,5050.38956,5509.9774,6017.47562,6196.87091,6483.45191,7232.16748,7837.50582,8108.10442
Afghanistan,0.97362,1.21041,1.48878,1.42905,2.02743,2.44257,3.0338,3.89321
American Samoa,0.16554,0.16833,0.17112,0.17391,0.16554,0.14787,0.14415,0.14601
Australia,200.1373,204.13084,214.77298,214.64306,221.187,223.462,226.894,222.6
Bangladesh,23.4765,27.469,28.244,28.555,31.9542,36.022,37.9758,41.5238
Bhutan,0.595,0.721,0.924,1.134,1.43,1.815,1.512,1.642
Brunei,2.89416,2.92412,3.0263,3.05362,3.17728,3.196,3.233,3.451
Burma (Myanmar),3.45286,4.15166,4.2362,4.50694,4.83752,6.09272,7.656,7.765
Cambodia,0.8317,1.02134,1.29056,1.50598,1.73112,2.0083,2.3392,3.004
China,2193.318,2522.011,2870.764,3054.078,3270.307,3781.543,4264.313,4467.923
Cook Islands,0.02523,0.02802,0.02895,0.02988,0.02895,0.02988,0.02988,0.02895
Fiji,0.65574,0.70317,0.73851,0.74874,0.75339,0.80826,0.77757,0.77757
French Polynesia,0.55893,0.58311,0.61008,0.63612,0.64914,0.72447,0.70215,0.65286
Guam,1.66749,1.66413,1.64366,1.6408,1.63215,1.63494,1.61262,1.56612
Hawaiian Trade Zone,--,--,--,--,--,--,--,--
Hong Kong,37.74,38.018,38.518,38.6511,39.168,39.566,39.724,40.786
India,497.124,547.119,593.32,621.293,669.178,725.492,802.98,864.709
Indonesia,106.775,111.956,120.61502,127.3824,133.4681,145.0832,156.8312,167.486
Japan,969.785,988.304,1026.852,961.606,935.114,994.801,983.158,921.04
Kiribati,0.01953,0.02046,0.02046,0.01953,0.01953,0.02139,0.02325,0.02418
Korea North,18.57414,18.17504,17.49342,18.84872,17.14626,17.6101,15.693,15.716
Korea South,350.19378,364.47828,387.01324,402.96336,409.23482,450.2353,472.299,482.38
Laos,1.03013,1.12829,1.60574,1.93103,2.34611,2.50657,2.39906,2.87379
Macau,2.118,2.399,2.959,3.2975,3.4359,3.639,3.856,4.215
Malaysia,69.12614,75.25278,81.92351,84.00561,103.08701,110.10801,114.22101,118.548
Maldives,0.16183,0.1851,0.21393,0.24462,0.26043,0.22329,0.24664,0.2671
Mongolia,3.04569,3.20947,3.35943,3.6447,3.5766,3.95054,4.0624,4.2044
Nauru,0.0279,0.02883,0.02976,0.03069,0.03255,0.02511,0.02325,0.02325
Nepal,1.952,2.154,2.28346,2.19746,2.57422,2.73882,3.097,3.239
